Time,Altitude,Temperature,Voltage
0,-30,70.9F,3.96
0.05,-21,70.9F,3.96
0.1,-17,70.9F,3.96
0.15,-9,70.9F,3.96
0.2,-5,70.9F,3.96
0.25,2,70.9F,3.96
0.3,7,70.9F,3.96
0.35,14,70.9F,3.96
0.4,27,70.9F,3.96
0.45,32,70.9F,3.96
0.5,36,70.9F,3.96
0.55,44,70.9F,3.96
0.6,46,70.9F,3.96
0.65,53,70.9F,3.96
0.7,56,70.9F,3.96
0.75,56,70.9F,3.96
0.8,63,70.9F,3.96
0.85,64,70.9F,3.96
0.9,70,70.9F,3.96
0.95,73,70.9F,3.96
1,72,70.9F,3.96
1.05,76,70.9F,3.96
1.1,82,70.9F,3.96
1.15,86,70.8F,3.96
1.2,90,70.8F,3.96
1.25,94,70.9F,3.96
1.3,97,70.9F,3.96
1.35,99,70.9F,3.96
1.4,102,70.9F,3.96
1.45,106,70.9F,3.96
1.5,110,70.9F,3.96
1.55,112,70.9F,3.96
1.6,114,70.9F,3.94
1.65,117,70.9F,3.94
1.7,120,70.9F,3.94
1.75,122,70.9F,3.94
1.8,126,70.9F,3.94
1.85,129,70.9F,3.94
1.9,133,70.9F,3.94
1.95,136,70.9F,3.94
2,137,70.9F,3.94
2.05,139,70.9F,3.94
2.1,141,70.9F,3.94
2.15,144,70.8F,3.94
2.2,147,70.8F,3.94
2.25,147,70.8F,3.94
2.3,149,70.8F,3.94
2.35,153,70.8F,3.94
2.4,156,70.8F,3.94
2.45,158,70.8F,3.94
2.5,158,70.8F,3.94
2.55,160,70.8F,3.94
2.6,161,70.8F,3.94
2.65,162,70.9F,3.94
2.7,165,70.9F,3.94
2.75,165,70.9F,3.94
2.8,166,70.9F,3.94
2.85,166,70.9F,3.94
2.9,167,70.9F,3.94
2.95,168,70.9F,3.94
3,168,70.9F,3.94
3.05,168,70.9F,3.94
3.1,171,70.9F,3.94
3.15,172,70.9F,3.94
3.2,170,70.9F,3.94
3.25,172,70.9F,3.94
3.3,173,70.9F,3.94
3.35,172,70.9F,3.94
3.4,172,70.8F,3.94
3.45,174,70.8F,3.94
3.5,174,70.8F,3.94
3.55,167,70.8F,3.94
3.6,176,70.8F,3.94
3.65,174,70.8F,3.94
3.7,175,70.8F,3.94
3.75,178,70.8F,3.94
3.8,181,70.8F,3.94
3.85,176,70.8F,3.94
3.9,170,70.8F,3.94
3.95,173,70.8F,3.94
4,181,70.8F,3.94
4.05,172,70.8F,3.94
4.1,172,70.8F,3.94
