Time,Altitude,Temperature,Voltage
0,5,67.9F,3.96
0.05,7,67.9F,3.97
0.1,9,67.9F,3.97
0.15,11,67.9F,3.97
0.2,14,67.9F,3.97
0.25,18,67.9F,3.97
0.3,23,67.9F,3.97
0.35,28,67.9F,3.97
0.4,29,67.9F,3.97
0.45,36,67.9F,3.97
0.5,40,67.9F,3.97
0.55,43,67.9F,3.97
0.6,46,67.9F,3.96
0.65,52,67.9F,3.97
0.7,58,67.8F,3.97
0.75,60,67.8F,3.97
0.8,64,67.8F,3.97
0.85,67,67.8F,3.97
0.9,72,67.8F,3.97
0.95,76,67.8F,3.97
1,80,67.8F,3.97
1.05,81,67.9F,3.97
1.1,84,67.9F,3.97
1.15,86,67.9F,3.97
1.2,90,67.9F,3.96
1.25,93,67.9F,3.97
1.3,96,67.9F,3.97
1.35,100,67.8F,3.97
1.4,101,67.8F,3.97
1.45,105,67.8F,3.97
1.5,108,67.8F,3.96
1.55,111,67.8F,3.97
1.6,113,67.8F,3.95
1.65,117,67.8F,3.95
1.7,120,67.8F,3.95
1.75,123,67.8F,3.95
1.8,125,67.8F,3.95
1.85,127,67.8F,3.95
1.9,129,67.8F,3.95
1.95,130,67.8F,3.95
2,133,67.8F,3.95
2.05,135,67.8F,3.95
2.1,137,67.8F,3.95
2.15,139,67.8F,3.95
2.2,139,67.8F,3.95
2.25,141,67.8F,3.95
2.3,143,67.8F,3.95
2.35,144,67.8F,3.95
2.4,146,67.8F,3.95
2.45,147,67.8F,3.95
2.5,148,67.8F,3.95
2.55,147,67.8F,3.95
2.6,148,67.8F,3.95
2.65,148,67.8F,3.95
2.7,148,67.8F,3.95
2.75,150,67.8F,3.95
2.8,149,67.8F,3.95
2.85,151,67.8F,3.95
2.9,151,67.8F,3.95
2.95,152,67.8F,3.95
3,152,67.8F,3.95
3.05,154,67.8F,3.95
3.1,156,67.8F,3.95
3.15,157,67.8F,3.95
3.2,156,67.8F,3.95
3.25,156,67.8F,3.95
3.3,154,67.8F,3.95
3.35,154,67.8F,3.95
3.4,152,67.8F,3.95
3.45,151,67.8F,3.95
3.5,97,67.8F,3.95
3.55,149,67.8F,3.95
3.6,147,67.9F,3.95
3.65,147,67.9F,3.95
3.7,146,67.8F,3.95
3.75,145,67.8F,3.95
3.8,144,67.8F,3.95
3.85,148,67.8F,3.95
3.9,153,67.8F,3.95
3.95,155,67.8F,3.95
4,146,67.8F,3.95
4.05,142,67.8F,3.95
4.1,141,67.8F,3.95
4.15,141,67.8F,3.95
4.2,139,67.8F,3.95
4.25,135,67.8F,3.95
4.3,138,67.8F,3.95
